score,Insu R1,Insu R2,Insu R3,SC Tap1,SC Tap2,SC Tap3,R12.1,R12.2,R12.3,R12.4,R12.5,R12.6,R12.7,R12.8,R12.9,R12.10,R12.11,R12.12,R12.13,R12.14,R12.15,R12.16,R12.17,R23.1,R23.2,R23.3,R23.4,R23.5,R23.6,R23.7,R23.8,R23.9,R23.10,R23.11,R23.12,R23.13,R23.14,R23.15,R23.16,R23.17,R31.1,R31.2,R31.3,R31.4,R31.5,R31.6,R31.7,R31.8,R31.9,R31.10,R31.11,R31.12,R31.13,R31.14,R31.15,R31.16,R31.17,x10,x20,x30,Cap HL,Tan HL,Cap LH,Tan LH,BD Main,BD OLTC,Bush1 cap,Bush1 tan,Bush2 cap,Bush2 tan,Bush3 cap,Bush3 tan,Surge1 loss,Surge1 leak,Surge2 loss,Surge2 leak,Surge3 loss,Surge3 leak,CO2,C2H4,C2H2,C2H6,CH4,CO,C3H6,C3H8,H2,O2,N2
91.2,2.4,1.761904762,1.333333333,122.7,96.48866667,75.544,9.4861,9.3779,9.27,9.1623,9.0542,8.9465,8.8382,8.7298,8.6226,8.5138,8.406,8.2979,8.1896,8.0817,7.9739,7.8659,7.7577,9.4804,9.3723,9.2644,9.1569,9.0489,8.9411,8.8329,8.7247,8.6168,8.5089,8.4009,8.2929,8.1847,8.0769,7.969,7.8611,7.7529,9.4804,9.3724,9.2647,9.1569,9.049,8.9409,8.8329,8.7246,8.617,8.5089,8.401,8.2927,8.1847,8.0768,7.9688,7.861,7.7528,24.48,24.64,24.83,11.9234,0.149,19.8007,0.3424,86,73.86666667,171.892,0.3568,170.272,0.3328,170.611,0.3815,0.3568,0,0.3328,0,0.3815,0,2552,13,0,420,277,344,35,278,27,1566,93849
90.26666667,2.150537634,1.406995231,1.155256724,122.6933333,96.371,75.371,9.4806,9.3725,9.2647,9.1568,9.0494,8.9411,8.8334,8.7249,8.6174,8.5093,8.4012,8.2931,8.185,8.0772,7.9692,7.8613,7.7531,9.4809,9.3725,9.2647,9.1571,9.0443,8.9411,8.833,8.7249,8.6172,8.5092,8.4009,8.2931,8.185,8.077,7.9692,7.8612,7.753,9.4811,9.3727,9.2646,9.1574,9.0495,8.9415,8.8331,8.7252,8.617,8.5092,8.4012,8.2928,8.1849,8.077,7.9693,7.8611,7.7532,25.25,25.32,24.92,12.6261,0.139,20.3039,0.2368,87,57.61666667,183.716,0.2359,183.064,0.2217,180.714,0.2456,92.2,0,89.2,0,92.4,0,6964,7,0,455,223,628,314,0,47,798,62348
82.8,2.62962963,1.65060241,1.23902439,122.2233333,96.06133333,75.17266667,9.4808,9.3726,9.265,9.1574,9.0494,8.9414,8.8334,8.7252,8.6171,8.5094,8.4011,8.2933,8.1851,8.0774,7.9693,7.8613,7.7533,9.4809,9.3728,9.2649,9.1573,9.0494,8.9411,8.8333,8.7253,8.6172,8.5092,8.4013,8.2935,8.185,8.0771,7.9693,7.8613,7.7534,9.4808,9.3726,9.2648,9.1572,9.0492,8.9412,8.833,8.7251,8.6172,8.5093,8.401,8.2931,8.1849,8.0771,7.9691,7.8614,7.7531,26.3,35.1,23.02,12.6417,0.1247,20.0796,0.216,60.73333333,90.3,185.958,0.2574,185.706,0.2427,182.541,0.2285,142.7,0,148.5,0,136.5,0,3169,17,0,927,265,231,640,0,20,596,81009
91.19166667,2.941176471,2.388888889,2.3,122.83,96.588,75.67666667,9.4822,9.3727,9.2644,9.157,9.0491,8.941,8.8339,8.725,8.6173,8.5091,8.4008,8.2929,8.1846,8.0769,7.9692,7.861,7.753,9.4804,9.3723,9.2645,9.1569,9.049,8.9412,8.8328,8.7246,8.6168,8.5092,8.4009,8.2928,8.1846,8.0771,7.969,7.8609,7.753,9.4803,9.3728,9.2648,9.1568,9.0488,8.9408,8.837,8.7248,8.6175,8.5093,8.4013,8.2931,8.1848,8.0768,7.9688,7.861,7.7529,40.8,40.97,40.6,11.8975,0.137,19.7404,0.238,60.86666667,60,190.696,0.5863,174.881,0.4757,171.714,0.4018,27.6,0,28.8,0,28.6,0,8711,5,0,266,210,754,26,189,64,804,70086
94.65833333,3,3,3,70,78,78.66666667,9.4829,9.3751,9.2669,9.1585,9.0503,8.942,8.8339,8.7253,8.6176,8.5092,8.4011,8.2924,8.1845,8.0766,7.9681,7.8602,7.7518,9.483,9.3746,9.267,9.1587,9.0504,8.942,8.8337,8.7259,8.6177,8.5326,8.4129,8.3045,8.1801,8.0966,7.9848,7.8898,7.7728,9.4836,9.3754,9.2671,9.1588,9.0503,8.9426,8.834,8.7259,8.6177,8.5093,8.4013,8.2928,8.1848,8.0768,7.9686,7.8602,7.7523,20,20,20,10,0.01,20,0.01,60,61.83333333,200,0.01,200,0.01,200,0.01,40,0,40,0,40,0,8147,9,0,310,188,454,26,212,85,1804,54017
91.99166667,1.794019934,1.690885073,1.894179894,104.52,82.95733333,65.48566667,9.4843,9.374,9.263,9.1538,9.0423,8.9337,8.8312,8.7207,8.6182,8.5087,8.398,8.2884,8.178,8.0678,7.9653,7.8553,7.7532,9.4833,9.3731,9.2638,9.1535,9.0424,8.9325,8.8315,8.7216,8.6183,8.5092,8.3985,8.2886,8.1773,8.0678,7.9664,7.8563,7.7537,9.4833,9.3732,9.2636,9.1535,9.0433,8.9326,8.831,8.7206,8.6185,8.5087,8.3977,8.2882,8.1779,8.0675,7.9654,7.8556,7.7532,18.26,18.34,18.4,8.22343,0.0714,14.7271,0.0931,59.68333333,85.01666667,171.586,0.3801,171.288,0.3605,171.083,0.3699,25,0,27.7,0,26.2,0,2191,5,0,23,33,165,16,23,0,17712,81026
92.79166667,1.727574751,1.403912543,1.892183288,104.14,82.64566667,65.457,9.4909,9.3806,9.2702,9.1601,9.0498,8.9395,8.8371,8.7267,8.6244,8.5141,8.4038,8.2936,8.1833,8.073,7.9706,7.8604,7.758,9.4907,9.3805,9.2703,9.16,9.0497,8.9395,8.8371,8.7267,8.6243,8.5141,8.4039,8.2936,8.1834,8.0731,7.9708,7.8605,7.7581,9.4912,9.3807,9.2704,9.1601,9.0498,8.9395,8.8371,8.7268,8.6244,8.514,8.4039,8.2936,8.1833,8.073,7.9707,7.8604,7.7581,22.34,22.62,22.94,8.2152,0.0763,15.0031,0.1133,55.58333333,83.95,167.824,0.359,170.247,0.356,171.761,0.374,27.8,0,30.2,0,28.2,0,6795,8,0,55,77,342,21,39,14,3992,49803
88.39166667,2.262295082,1.847262248,1.094462541,122.9366667,96.583,75.65766667,9.4811,9.3728,9.2647,9.1574,9.0492,8.9411,8.8331,8.7251,8.6173,8.5094,8.401,8.2931,8.1848,8.0771,7.9691,7.861,7.7531,9.4823,9.3741,9.2662,9.1584,9.0507,8.9428,8.8344,8.7267,8.6189,8.5107,8.4027,8.2948,8.1865,8.0789,7.9709,7.8629,7.7549,9.4807,9.3727,9.2647,9.1568,9.0489,8.9413,8.833,8.7249,8.617,8.5088,8.401,8.2931,8.1847,8.077,7.9692,7.861,7.7532,28.26,28.72,29.56,12.1644,0.1407,20.1546,0.2986,58.2,63.31666667,170.116,0.2983,171.404,0.3491,170.231,0.3632,32.9,0,31.2,0,30.6,0,10167,9,0,329,204,475,41,247,35,13511,5871
90.26666667,2.192893401,1.661237785,1.145907473,123.37,97.028,77.062,9.4806,9.3723,9.2645,9.1572,9.0487,8.9411,8.833,8.725,8.617,8.509,8.401,8.293,8.1848,8.077,7.9692,7.8611,7.753,9.4844,9.3766,9.2685,9.1607,9.0528,8.9457,8.8378,8.7302,8.6218,8.5131,8.4044,8.2981,8.1913,8.083,7.9755,7.8673,7.76,9.4837,9.3739,9.2668,9.1598,9.0513,8.9428,8.8346,8.728,8.62,8.5117,8.4033,8.2947,8.1874,8.0845,7.9715,7.8624,7.7605,26.9,26.08,25.98,11.7689,0.1219,19.2789,0.3052,74.2,73.76666667,171.684,0.2994,172.306,0.349,169.993,0.3953,30.6,0,74.4,0,65.4,0,8952,8,0,325,169,408,59,257,29,8526,5597
100,3,3,3,,,,9.484761905,9.377018009,9.269199134,9.161455238,9.053636364,8.945892468,8.838073593,8.730329697,8.622510823,8.514766926,8.406948052,8.299204156,8.191385281,8.083641385,7.975822511,7.868078615,7.76025974,9.484761905,9.377018009,9.269199134,9.161455238,9.053636364,8.945892468,8.838073593,8.730329697,8.622510823,8.514766926,8.406948052,8.299204156,8.191385281,8.083641385,7.975822511,7.868078615,7.76025974,9.484761905,9.377018009,9.269199134,9.161455238,9.053636364,8.945892468,8.838073593,8.730329697,8.622510823,8.514766926,8.406948052,8.299204156,8.191385281,8.083641385,7.975822511,7.868078615,7.76025974,20,20,20,3.15231,0.1993,3.51227,0.1968,81.68333333,81.65,264.98,0.2518,265.511,0.2714,256.267,0.2352,4.3,10,58,10,43.36,10,7854,322,,407,483,178,276,255,734,4123,4651
