CO2,C2H4,C2H2,C2H6,CH4,CO,H2
2360,9,0,124,40,182,37
2585,16,0,108,41,175,26
3450,6,0,0,18,271,38
2623,9,0,115,46,226,54
4079,2,0,49,37,371,76
3852,5,0,197,65,136,35
3175,9,0,189,69,158,30
2192,3,0,103,64,140,23
12102,26,2,80,76,525,63
2451,31,2,13,13,229,9
4481,8,0,177,109,227,30
4138,7,0,235,108,190,25
4524,8,1,175,72,298,39
3997,5,0,120,60,185,22
376,2,0,2,5,157,14
6063,1,2,39,78,599,31
4667,12,1,263,130,279,111
8327,171,1,43,126,751,55
3235,82,0,27,53,300,53
7349,19,1,7,30,761,33
1450,17,0,143,32,190,21
2707,11,1,352,99,205,32
1902,11,0,135,126,202,20
2948,28,0,9,12,254,34
5293,11,0,93,40,386,44
3154,10,0,70,57,82,8
2092,1,0,70,98,77,23
2111,119,1,65,156,175,29
5190,12,0,36,33,562,66
8594,1,0,12,23,1257,68
7807,7,0,7,29,1125,55
2021,13,1,439,72,125,23
3649,13,1,380,151,197,21
2093,13,0,452,83,137,27
3600,6,1,116,39,188,45
2260,7,0,15,11,377,37
1782,1,0,78,30,186,43
2625,5,0,109,51,283,40
4223,23,0,18,40,254,187
2846,2,0,9,12,388,43
2847,4,2,368,117,134,43
2814,12,0,396,95,167,129
3111,5,2,249,81,189,42
2793,24,0,32,25,216,11
2612,2,2,5,21,376,9
2332,7,0,208,85,250,15
2953,9,1,288,96,257,21
3976,1,0,9,22,437,9
2579,4,0,6,8,411,5
4546,5,0,12,10,508,6
2126,3,0,120,79,102,5
1819,2,0,131,59,70,13
3207,9,3,422,126,170,46
3310,9,1,479,157,181,45
5321,1,0,24,48,335,48
11700,12,0,56,72,417,91
2920,8,1,80,102,173,27
3423,483,0,308,336,316,62
1903,3,1,9,10,185,5
1341,1,1,2,8,503,5
2026,6,0,39,73,145,20
2753,5,1,32,69,142,26
9032,7,0,8,19,452,23
1404,13,0,168,20,40,12
4640,26,0,159,99,119,37
1689,6,0,20,37,420,14
1579,2,1,3,8,409,6
2965,1,1,5,18,400,9
4773,2,1,9,16,328,6
2296,16,0,276,64,243,14
2926,6,0,93,41,188,29
4171,4,1,15,24,616,16
4801,7,1,56,61,355,31
3219,11,1,133,106,416,26
3066,23,0,233,68,392,98
7161,179,1,61,93,342,72
11440,37,0,36,63,677,40
4666,28,5,19,28,651,64
7371,3,0,77,78,336,19
7185,1,0,123,107,310,24
7821,10,0,116,74,498,100
2064,14,1,360,103,152,29
1850,8,0,204,53,87,138
4195,401,0,70,100,576,69
2603,27,1,71,85,207,14
2813,10,1,399,129,144,11
3023,35,0,192,118,200,18
2614,12,0,8,13,426,17
2377,17,0,512,99,112,32
1777,14,1,503,96,111,25
1353,2,0,3,7,320,7
1282,2,1,2,8,285,13
1021,5,0,76,14,63,60
1024,6,0,37,29,72,39
1558,7,0,37,31,62,19
908,6,0,46,32,60,61
5291,88,0,41,123,314,7
6103,14,0,323,111,221,19
2963,2,2,108,60,250,78
2075,2,1,12,8,416,6
3153,3,0,7,7,310,7
3071,3,1,16,37,278,24
8451,8,0,30,58,402,46
3887,2,2,21,21,510,12
5118,7,0,17,33,35,7
5847,5,1,8,19,372,8
12638,58,0,29,17,346,34
8476,8,1,17,57,624,26
4506,5,1,12,29,322,18
9493,76,1,32,23,359,31
2055,2,0,12,20,121,5
4125,29,0,866,104,162,48
4555,10,0,291,100,183,28
2557,1,1,104,97,177,28
2750,6,0,222,80,94,18
2698,108,0,57,101,315,31
1789,39,0,562,85,93,27
3044,17,0,56,33,325,26
2667,23,0,66,14,315,28
2734,10,0,33,19,306,23
2201,7,0,164,63,33,7
1885,202,0,239,239,46,14
2544,41,0,125,54,276,29
8526,8,0,15,37,706,73
2267,9,0,350,125,135,31
8314,13,0,23,32,580,66
9027,15,0,29,27,363,90
2131,12,0,378,114,151,24
2166,1,0,36,53,306,18
9883,131,73,52,139,956,312
9313,381,35,90,211,356,192
2256,10,0,131,43,109,16
2585,8,0,221,75,219,20
2079,16,1,375,76,170,51
9788,47,2,23,15,1041,33
7837,7,1,17,15,952,49
1842,35,0,273,66,252,16
1837,16,0,151,79,290,9
4245,11,0,106,85,301,22
5153,41,0,209,151,269,58
3488,5,0,3,17,598,7
3916,5,1,6,24,546,9
8113,13,2,17,37,703,36
6582,12,0,8,22,1000,26
4476,6,1,25,59,328,28
4112,13,0,104,45,237,28
6352,28,1,43,31,878,34
