score,Insu R1,Insu R2,Insu R3,SC Tap1,SC Tap2,R12.8,R12.9,R12.10,R23.8,R23.9,R31.3,R31.9,R31.10,x10,Cap HL,Tan HL,Cap LH,Tan LH,BD Main,BD OLTC,Bush1 cap,Bush1 tan,Surge1 loss,Surge1 leak,CO2,C2H4,C2H2,C2H6,CH4,CO,C3H6,C3H8,H2,O2,N2
92.1333,1.6,2.5294,3.4773,96.7733,75.9867,8.725,8.616,8.508,8.724,8.616,9.266,8.616,8.508,16,9.6168,0.14,16.1495,0.14,80.7833,71.9333,252.35,0.027,88.8,0,8194,24,0,12,34,833,58,17,0,10147,5237
89.3333,1.2035,1.1169,1.2818,87.7253,69.957,8.7237,8.6172,8.5106,8.7239,8.6172,9.257,8.6171,8.5103,20.37,7.6746,0.255,15.3522,0.2444,91.45,84.95,263.048,0.2137,42.7,,6650,307,0,511,590,280,323,268,212,9755,93214
85.5833,1.2545,1.1705,1.2761,87.542,69.7917,8.7234,8.617,8.5101,8.7262,8.6198,9.2594,8.6196,8.5132,18.85,7.7319,0.3571,16.248,0.3567,55.65,54.7667,263.862,0.3075,18.1,0,,10,0,362,188,300,45,256,8419,1637,4434
88.4,1.1827,1.1976,1.2857,87.514,69.8047,8.7233,8.6166,8.51,8.7234,8.6171,9.2569,8.6168,8.5102,29.05,7.6405,0.4431,15.6612,0.5352,60.6333,84.2333,263.958,0.5413,234.8,,12024,8,0,267,141,111,36,196,168,1628,2242
87.3167,1.126,1.0891,1.3401,87.9427,70.1317,8.7337,8.6271,8.5201,8.7308,8.6238,9.2649,8.6238,8.517,28.56,3.6764,0.1771,3.6768,0.1768,46.3333,65.35,262.3,0.4696,12.9,10,11421,374,0,515,510,194,448,283,2077,,5262
92.9333,1.3008,1.1752,1.3291,87.6287,69.8563,8.7235,8.6167,8.5103,8.7233,8.6168,9.2757,8.6358,8.5292,15.13,7.6586,0.2273,14.5456,0.2156,69.15,60.3667,263.087,0.2206,21.2,0,644,0,0,69,6,10,16,103,0,4817,17360
85.575,1.313,1.1794,1.2904,87.399,69.6727,8.7273,8.6206,8.5137,8.727,8.6201,9.2601,8.6201,8.5135,20.36,7.6794,0.2733,14.5242,0.2503,36.5667,62.6667,260.67,0.3189,27.1,0,15041,10,0,323,162,136,45,235,1054,701,3490
89.1917,1.1888,11.5405,1.1145,88.023,70.18,8.7233,8.6167,8.5101,8.7238,8.617,9.2567,8.6169,8.5102,35.59,7.5691,0.2105,15.5659,1.0793,82.8167,57.25,262.224,0.2196,34,0,11622,9,0,401,181,147,39,287,62,13059,6134
90.9083,3,3,3,56.3333,64,8.7303,8.6225,8.5148,8.7303,8.6225,9.2692,8.6225,8.5148,20,10,0.01,20,0.01,86.2667,,200,0.01,40,0,1420,10,0,337,148,316,31,217,0,6520,94340
96.5333,3,3,3,56.3333,64,8.7303,8.6225,8.5148,8.7303,8.6225,9.2692,8.6225,8.5148,20,10,0.01,20,0.01,83.5833,76.3333,200,0.01,40,0,1634,8,0,299,123,246,28,198,0,1599,46829
96.5333,3,3,3,56.3333,64,8.7303,8.6225,8.5148,8.7303,8.6225,9.2692,8.6225,8.5148,20,10,0.01,20,0.01,85.35,89.0167,200,0.01,40,0,2838,7,0,372,175,315,28,246,74,1434,48167
91.05,3,3,3,90,70,8.7303,8.6225,8.5148,8.7303,8.6225,9.2692,8.6225,8.5148,20,10,0.01,20,0.01,60,60,200,0.01,40,0,4677,9,0,294,138,151,,,523,392,66351
89.8333,1.6724,1.5229,1.9713,97.1033,76.3293,8.7341,8.6253,8.5166,8.7333,8.6248,9.2685,8.6178,8.5093,15.13,10.112,0.1093,23.4487,0.1097,78.8167,66.25,206.274,0.3772,49,0,7499,22,0,4,20,697,16,0,0,2958,84632
88.3917,1.4928,1.2707,1.0831,87.1853,69.3903,8.6076,8.5004,8.3926,8.7235,8.6169,9.2572,8.6172,8.5106,22.05,,,,,77.45,56.9667,258.6,0.1341,,0,6741,9,0,268,225,380, , ,52,903,72525
