General,ActivePart,InsulatingOil,OLTC,Bushing,Arrester,DGA,score
5.000,12.800,15.000,20.000,20.000,8.667,10.000,91.467
5.000,12.800,15.000,20.000,20.000,7.333,2.000,82.133
5.000,12.800,15.000,20.000,20.000,6.000,2.000,80.800
5.000,12.800,15.000,20.000,20.000,10.000,2.000,84.800
5.000,12.933,15.000,20.000,20.000,10.000,10.000,92.933
5.000,11.067,15.000,20.000,20.000,7.333,2.000,80.400
5.000,14.533,15.000,20.000,20.000,5.333,2.000,81.867
5.000,14.533,15.000,20.000,20.000,10.000,10.000,94.533
5.000,11.200,15.000,20.000,20.000,10.000,10.000,91.200
5.000,12.933,7.500,20.000,20.000,10.000,10.000,85.433
5.000,12.133,11.250,20.000,20.000,10.000,10.000,88.383
5.000,15.600,15.000,20.000,20.000,10.000,10.000,95.600
5.000,17.333,15.000,20.000,20.000,10.000,10.000,97.333
5.000,14.667,11.250,20.000,20.000,9.333,10.000,90.250
5.000,12.133,15.000,20.000,20.000,2.000,10.000,84.133
5.000,12.933,11.250,20.000,20.000,10.000,10.000,89.183
5.000,14.667,15.000,20.000,20.000,10.000,10.000,94.667
5.000,12.000,11.250,20.000,20.000,10.000,10.000,88.250
5.000,12.800,15.000,20.000,20.000,10.000,2.000,84.800
5.000,14.667,11.250,20.000,20.000,10.000,10.000,90.917
5.000,14.533,15.000,20.000,20.000,10.000,10.000,94.533
5.000,13.733,15.000,20.000,20.000,10.000,10.000,93.733
5.000,12.133,11.250,20.000,20.000,10.000,10.000,88.383
5.000,12.000,13.125,20.000,20.000,10.000,2.000,82.125
5.000,13.733,15.000,20.000,20.000,10.000,10.000,93.733
5.000,11.067,15.000,20.000,20.000,10.000,10.000,91.067
5.000,12.800,15.000,20.000,20.000,10.000,10.000,92.800
5.000,15.467,15.000,20.000,20.000,10.000,10.000,95.467
5.000,13.733,15.000,20.000,20.000,10.000,10.000,93.733
5.000,15.600,11.250,20.000,20.000,10.000,10.000,91.850
5.000,16.533,15.000,20.000,20.000,10.000,10.000,96.533
5.000,11.067,11.250,20.000,20.000,10.000,10.000,87.317
5.000,13.067,15.000,20.000,20.000,10.000,10.000,93.067
5.000,20.000,11.250,20.000,20.000,10.000,10.000,96.250
5.000,20.000,11.250,20.000,20.000,10.000,10.000,96.250
5.000,18.267,11.250,20.000,20.000,10.000,10.000,94.517
5.000,20.000,11.250,20.000,20.000,10.000,10.000,96.250
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,20.000,11.250,20.000,20.000,10.000,10.000,96.250
5.000,20.000,11.250,20.000,20.000,10.000,10.000,96.250
5.000,18.267,11.250,20.000,20.000,10.000,10.000,94.517
5.000,16.533,11.250,20.000,20.000,10.000,10.000,92.783
5.000,20.000,15.000,20.000,20.000,10.000,10.000,100.000
5.000,20.000,11.250,20.000,20.000,10.000,10.000,96.250
5.000,20.000,15.000,20.000,20.000,10.000,2.000,92.000
4.639,20.000,15.000,10.000,20.000,10.000,10.000,89.639
5.000,20.000,15.000,20.000,20.000,10.000,10.000,100.000
5.000,20.000,15.000,20.000,20.000,10.000,2.000,92.000
5.000,20.000,15.000,20.000,20.000,10.000,10.000,100.000
4.639,20.000,15.000,10.000,20.000,10.000,10.000,89.639
5.000,20.000,15.000,20.000,20.000,10.000,2.000,92.000
5.000,13.067,15.000,20.000,20.000,10.000,2.000,85.067
5.000,20.000,15.000,20.000,20.000,10.000,2.000,92.000
5.000,20.000,15.000,20.000,20.000,10.000,2.000,92.000
5.000,20.000,15.000,20.000,20.000,10.000,2.000,92.000
