Insu R1,Insu R2,Insu R3,SC Tap1,SC Tap2,SC Tap3,R12.8,R12.9,R12.10,R23.7,R23.8,R23.9,R23.10,R31.1,R31.3,R31.9,R31.10,R31.11,x10,Cap HL,Tan HL,Cap LH,Tan LH,BD Main,BD OLTC,Bush1 cap,Bush1 tan,Bush2 cap,Bush2 tan,Bush3 cap,Bush3 tan,Surge1 loss,Surge1 leak,Surge2 loss,Surge3 loss,CO2,C2H4,C2H2,C2H6,CH4,CO,C3H6,C3H8,H2,O2,N2
1.5132,1.387,1.741,101.0733,79.2927,61.997,8.7332,8.6259,8.5184,8.841,8.7334,8.6257,8.5185,9.486,9.2709,8.626,8.5182,8.4105,29.64,12.6246,0.1021,22.2565,0.129,79.5833,54.6,256.511,0.1176,258.64,0.1142,251.415,0.1139,65.7,0,65.5,64.7,3607,5,0,281,128,331,2,19,21,2140,59729
1.497,4.668,2.1629,100.4883,78.7783,61.516,8.7407,8.633,8.5253,8.8487,8.7409,8.6332,8.5254,9.495,9.2795,8.6331,8.5254,8.4177,21.25,12.5646,0.1013,22.0311,0.111,86.2667,56.55,254.227,0.2286,254.915,0.1999,251.483,0.2288,122.1,0,124.3,119.7,2399,5,0,225,84,186,39,176,11,5145,5058
2.871,1.8727,1.913,101.8033,79.8683,62.3557,8.7334,8.6262,8.5184,8.8412,8.7334,8.626,8.5185,9.4861,9.2711,8.626,8.5183,8.4109,58.18,12.6029,0.1212,22.5513,0.1323,54.7333,81.55,287.788,0.3075,287.821,0.6777,286.914,0.4372,73.1,0,73.2,69.3,2095,7,0,109,101,214,52,80,0,3300,5208
2.4889,1.8014,1.89,101.41,79.5347,62.1553,8.7332,8.6255,8.5181,8.841,8.7336,8.6259,8.5183,9.4862,9.2709,8.6259,8.5183,8.4108,26.89,12.3724,0.0961,22.2091,0.1421,80.6167,69.5667,250.736,0.2164,251.422,0.2061,252.434,0.2239,62.1,10,64.9,63,7680,5,0,190,109,220,47,143,13,3013,3268
3,3,3,101.8533,79.8557,62.3663,8.7334,8.6258,8.5183,8.8415,8.7336,8.6261,8.5185,9.4862,9.2684,8.6259,8.5184,8.4108,26.57,12.4565,0.1174,22.153,0.1224,79.6833,85.55,251.645,0.228,251.601,0.2309,252.41,0.2533,70.7,0,78.7,72.2,4192,4,0,256,132,260,27,184,0,13683,82934
1.8039,1.6071,2.8627,102.14,80.1197,62.472,8.7364,8.629,8.5213,8.8444,8.7368,8.6294,8.5212,9.4904,9.2753,8.6291,8.5215,8.414,18.89,12.5123,0.1069,22.0082,0.1122,87.7333,41.5167,251.206,0.228,251.554,0.2265,253.51,0.3824,66.8,0,68.9,62.9,6259,5,0,245,120,199,171,0,0,3318,48382
,2,,102.11,80.11,62.5177,8.739,8.6279,8.5195,8.8438,8.736,8.6284,8.5207,9.4896,9.2743,8.628,8.519,8.4129,22.81,9.0911,0.1358,17.9648,0.0832,95.9167,86.6,176.57,0.4282,180.228,0.5952,176.769,0.446,35.2,0,37.8,37.5,1203,8,0,306,129,194,205,0,0,14191,10149
2.9551,1.8864,1.1186,101.7467,79.707,62.2313,8.7338,8.6261,8.5186,8.8412,8.7336,8.626,8.5185,9.4866,9.2712,8.6263,8.5186,8.4107,34.35,12.2743,0.1054,22.3007,0.1283,92.8,80.9333,252.638,0.2383,256.316,0.2657,255.796,0.2426,88.7,0,86.2,86.3,1716,8,0,226,123,210,31,155,0,1569,59243
2.0254,1.804,1.4831,102.3067,80.2197,62.5607,8.7336,8.6261,8.5185,8.8411,8.7337,8.6262,8.5184,9.4865,9.2713,8.6261,8.5186,8.4108,33.29,12.3165,0.1087,22.1133,0.138,71.1833,98.3167,254.987,0.2371,255.363,0.2402,247.861,0.2262,118.6,0,121.7,115.8,3726,7,0,234,132,312,25,163,0,1424,60105
2.25,1.6284,1.5052,133.5167,105.8133,83.885,8.7218,8.6153,8.5091,8.8278,8.7215,8.6152,8.5088,9.4754,9.2579,8.6152,8.5092,8.3982,47.81,12.1613,0.0973,22.1154,0.14,77.4333,65.6667,249.212,0.2396,248.796,0.225,248.836,0.2406,61.3,0,60.2,57.4,11402,7,0,346,251,524,28,229,0,13335,92477
1.9517,1.4679,1.6508,95.1158,74.6022,58.346,8.7338,8.6261,8.5187,8.8414,8.7335,8.626,8.5187,9.4865,9.2712,8.6262,8.5185,8.4109,25.53,12.2204,0.0943,21.9978,0.1522,93.4,72.5,254.637,0.2528,256.532,0.2344,249.218,0.3261,62.2,0,62.4,58.7,1880,8,0,227,143,351,24,150,0,825,52871
1.3723,8.375,2.4176,101.3,79.4473,62.0607,8.7337,8.6268,8.5189,8.8412,8.7342,8.6267,8.5191,9.4872,9.2714,8.6259,8.519,8.4107,28.35,12.517,0.1009,22.5112,0.2684,93.85,82.1833,260.277,0.2839,256.046,0.238,254.869,0.2348,65.1,0,66,62,8101,5,0,129,133,351,51,95,24,11889,6417
1.8714,1.8934,1.5813,101.11,79.2803,61.905,8.7339,8.6263,8.5189,8.8416,8.734,8.6263,8.5188,9.4865,9.2713,8.6262,8.5186,8.4111,19.45,12.3085,0.1063,21.9787,0.1202,95.3667,93.6833,248.731,0.2312,256.655,0.2448,240.497,0.3809,76.1,0,75.6,73.3,6545,3,0,157,116,366,46,118,11,14189,5224
2.6296,2.1879,2.2553,80.746,80.58,80.4867,8.7339,8.6263,8.5188,8.8416,8.7337,8.6263,8.5187,9.4865,9.2714,8.6262,8.5187,8.4109,17.96,12.4201,0.108,22.3267,0.1314,98.2333,76.2167,255.344,0.2547,254.833,0.2467,256.035,0.3726,79.7,0,78.4,73.4,4672,6,0,8,33,161,37,21,0,3520,3361
2.1449,1.544,1.884,80.9793,80.36,80.8713,8.7339,8.6265,8.5181,8.8415,8.7338,8.6263,8.5188,9.4868,9.2713,8.6263,8.5188,8.4111,19.38,12.243,0.1027,22.659,0.1191,94.1,88.4333,255.944,0.3089,250.616,0.143,255.322,0.3139,149.7,0,132,141.2,4996,6,0,10,38,216,34,19,0,11645,5614
2.531,2.0779,2.1458,100.95,79.182,61.8457,8.7337,8.6263,8.5187,8.8415,8.7339,8.6262,8.5188,9.4864,9.2715,8.6262,8.5188,8.4112,20.85,4.165,0.1027,22.4923,0.1191,53.3167,41.25,254.03,0.3089,245.59,0.143,244.709,0.3139,128.5,0,125.8,131.2,2930,6,0,83,99,125,21,58,35,2530,40904
2.5482,1.863,2.0333,100.9067,79.1373,61.8103,8.734,8.6264,8.5187,8.8415,8.7339,8.6262,8.519,9.4867,9.2711,8.6262,8.5188,8.4109,24.71,10.6028,0.0972,17.568,0.2096,83.0667,70.6833,205.117,0.3759,205.58,0.3805,205.047,0.3793,39.4,0,38,35.1,4477,6,0,160,152,417,22,104,46,3245,64104
1.8378,1.4031,1.7419,100.91,79.1483,61.897,8.7337,8.6263,8.5185,8.8414,8.7336,8.6262,8.5188,9.4864,9.2711,8.6261,8.5187,8.4109,22.02,10.8062,0.1032,18.2153,0.1502,70.3333,88.95,205.129,0.3689,204.05,0.3544,206.805,0.3394,45.1,10,46.3,49.5,3688,5,0,166,140,473,21,113,33,1408,40909
1.617,1.1622,1.505,100.85,79.1317,61.8533,8.7336,8.6263,8.5185,8.8416,8.7336,8.6262,8.5188,9.4864,9.271,8.6261,8.5183,8.4106,22.02,10.7669,0.1037,18.3407,0.1669,88.0167,92.4,206.359,0.3767,205.521,0.3661,204.533,0.335,42.2,10,41.8,43.1,3602,5,0,7,34,220,17,15,24,1476,51137
2.25,1.6284,1.5052,98.7367,77.0873,59.944,8.7367,8.6267,8.5168,8.8471,8.7368,8.6269,8.5167,9.5076,9.2873,8.6268,8.5167,8.4065,23.41,10.973,0.0824,17.9416,0.0954,84.0667,77.0667,208.246,0.3607,207.536,0.333,207.616,0.3546,28.4,0,30.7,27.7,2958,3,0,4,13,918,14,0,0,14631,75011
2.4249,1.5855,1.6037,103.4833,80.53,63.8067,8.736,8.6258,8.5151,8.8458,8.7358,8.6253,8.5152,9.5072,9.2866,8.6255,8.5157,8.4055,23.81,11.2346,0.106,18.1551,0.1161,56.5833,89.6667,209.792,0.5133,207.451,0.4512,213.653,0.6266,38.3,0,36.5,36.4,3817,6,0,5,15,1181,17,14,0,12813,73452
1.9593,1.6384,1.0851,101.3567,78.8867,61.7567,8.7362,8.6261,8.5163,8.8472,8.7371,8.6269,8.5163,9.5078,9.2871,8.626,8.5161,8.4056,20.7,11.044,0.1847,19.2194,0.1579,82.35,77.1,205.949,0.1828,205.786,0.1887,267.875,0.1937,45,0,45.4,46.7,4524,3,0,4,13,1086,15,0,0,8403,51275
1.7205,1.2244,1.7259,97.553,76.1853,59.2803,8.7365,8.6265,8.5166,8.8465,8.7365,8.6261,8.5162,9.5075,9.2868,8.6263,8.5168,8.4064,102.8,10.5444,0.0862,22.5816,0.0686,82.3833,83.0667,174.047,0.3644,172.855,0.3628,173.427,0.3767,27.2,0,29.5,28.6,11092,3,0,7,29,549,16,14,0,14118,81013
1.6501,1.4947,1.594,96.8467,75.5687,58.7027,8.7363,8.6275,8.5168,8.8478,8.7374,8.6267,8.5164,9.5091,9.2885,8.6253,8.5157,8.4072,24.83,10.6531,0.1245,21.4034,0.0953,94.5833,85.8167,172.846,0.3793,173.722,0.3873,172.974,0.3656,66.7,0,67.5,67.6,7570,0,0,6,24,782,15,14,0,3677,46869
2.2416,1.8015,2.6239,98.0953,76.5737,59.4973,8.7434,8.6331,8.5228,8.8534,8.7433,8.6328,8.5226,9.5152,9.2946,8.6328,8.5226,8.4123,42.9,11.2965,0.1439,19.4817,0.1495,87.05,89.4833,209.323,0.3545,208.695,0.3626,210.353,0.3601,32.2,0,30.6,30.2,5254,4,0,6,22,612,15,14,0,18547,91173
1.7168,1.3172,1.4977,94.9677,74.4887,58.204,8.7284,8.6209,8.5131,8.837,8.729,8.6215,8.5139,9.4825,9.2672,8.6206,8.5129,8.4049,23.7,11.1847,0.1033,18.854,0.1829,79.4,70.3,207.629,0.3677,209.396,0.3677,208.985,0.3736,20.9,0,22.2,21.5,4386,7,0,263,146,430,26,197,0,4338,87693
1.4571,1.2155,1.3908,94.4887,74.093,57.873,8.7285,8.6206,8.5132,8.836,8.7279,8.6204,8.5127,9.4824,9.2669,8.6207,8.5131,8.405,23.94,11.3087,0.1171,19.2281,0.198,84.75,82.3833,210.669,0.1603,211.7,0.1607,210.299,0.1837,27.3,0,34.7,34.2,4437,6,0,260,159,405,27,197,0,9319,68893
1.4815,1.528,1.247,96.831,75.53,58.7197,8.7367,8.6263,8.5164,8.8469,8.7364,8.6264,8.5163,9.5079,9.2874,8.6268,8.5167,8.4063,17.07,8.1335,0.1294,8.1335,0.1294,81.8167,83.8333,252.541,0.2281,250.109,0.219,249.584,0.2163,22.5,10,21.5,21.1,11702,0,0,5,23,478,16,14,0,16606,93583
1.41,1.2283,1.4265,96.843,75.606,58.7707,8.7371,8.627,8.5167,8.8468,8.7368,8.6265,8.5165,9.5079,9.2874,8.6269,8.5165,8.4065,15.79,11.3451,0.1153,18.2437,0.14,89.6167,86.3833,210.429,0.2287,214.615,0.2366,210.463,0.2184,36.9,0,33.9,34,10920,0,0,6,28,421,17,14,0,12636,84191
1.7795,1.8116,1.5709,96.4787,75.299,58.528,8.7368,8.6265,8.5166,8.8464,8.736,8.6261,8.5162,9.5076,9.287,8.6265,8.5162,8.4062,22.07,10.8123,0.11,22.3841,0.1116,83.5167,74.2333,169.275,0.2429,169.578,0.2247,168.576,0.2324,34.8,0,35.3,34.2,5591,4,0,4,16,1141,14,13,0,2985,46920
1.9864,0.4474,1.0286,98.527,77.123,60.171,8.7556,8.639,8.526,8.8486,8.7409,8.6331,8.5254,9.4949,9.2795,8.633,8.5254,8.4177,20.85,7.5735,0.209,15.1984,0.4595,88.45,79.9333,261.73,0.1108,264.306,0.1088,261.963,0.2905,17.7,0,18.8,18.3,899,3,0,43,27,109,30,65,10,697,2050
1.8284,1.662,1.173,96.3573,75.1993,58.449,8.7367,8.6266,8.5164,8.8468,8.7367,8.6266,8.5164,9.5075,9.2869,8.6265,8.5162,8.4061,20.55,10.7679,0.0877,22.1988,0.0661,80.75,83.75,176.481,0.3982,176.413,0.3854,176.26,0.3935,25.7,0,26.6,26.3,4976,3,0,4,13,1070,14,13,0,17127,85479
1.8879,1.5053,1.9245,95.2113,74.711,58.3257,8.765,8.6552,8.5487,8.8375,8.7296,8.6219,8.5141,9.5042,9.3335,8.6825,8.5705,8.4607,16.05,12.7122,0.112,22.3691,0.119,95.3333,90.25,251.437,0.1277,254.402,0.1219,255.461,0.1164,22.22,0,20.49,21.06,3330,5,0,108,61,388,19,94,0,4519,52952
1.3195,1.2274,1.2607,95.4143,74.1857,56.6963,8.7333,8.6213,8.5149,8.8361,8.7297,8.6226,8.5165,9.4697,9.2563,8.6167,8.5104,8.4032,27.5,12.7556,0.1132,21.9176,0.1334,53.95,54.8,268.125,0.2311,261.949,0.1063,269.584,0.1193,18.21,0,21.1834,18.76,3558,9,0,89,85,361,21,61,0,3929,62226
3,3,3,94.8777,74.3957,58.135,8.7285,8.6206,8.513,8.8364,8.7286,8.6209,8.513,9.4831,9.2676,8.6211,8.5132,8.4055,15.57,12.7495,0.2009,21.4372,0.1673,72.45,65.3333,277.806,0.2551,261.109,0.1447,265.103,0.3709,31.4,0,24.5,26.1,15618,4,0,75,67,241,35,63,20,7392,4479
1.8598,1.5541,1.6174,84.428,66.23,51.958,8.7332,8.6258,8.5182,8.8423,8.782,8.6629,8.5522,9.486,9.2707,8.6259,8.5184,8.4106,17.65,10.958,0.2243,21.5658,0.2438,87.9833,67.7167,173.055,0.3855,173.003,0.3528,172.458,0.3876,0.3568,0,0.3328,0.3815,1607,5,0,26,56,184,22,28,24,1763,35212
1.935,1.4879,1.8665,85.2113,66.8547,52.3853,8.7346,8.6285,8.5195,8.8407,8.7335,8.6256,8.518,9.486,9.271,8.6255,8.5183,8.4104,18.3,10.8651,0.217,21.6438,0.2338,85.4167,80.8333,170.858,0.3392,171.277,0.3761,174.736,0.4008,33.1,0,35.6,31.3,7728,6,0,244,210,504,22,160,26,2771,53999
1.6952,1.3231,1.474,84.8777,66.61,52.2207,8.7329,8.6257,8.5184,8.841,8.7335,8.6256,8.5183,9.4859,9.2708,8.6254,8.5183,8.4103,18.95,10.9303,0.1263,21.6146,0.1625,60.7833,52.7,172.552,0.4062,171.695,0.3809,172.679,0.3958,43.2,0,32.2,27.8,3163,5,0,14,51,318,18,19,38,3502,48096
1.9845,1.8778,2.1323,95.1463,74.629,58.305,8.7284,8.6207,8.5129,8.8363,8.7282,8.6208,8.5131,9.4828,9.2673,8.6208,8.5132,8.4052,26.49,11.0047,0.1614,22.1312,0.1649,93.7167,61.7333,168.33,0.3692,170.458,0.3484,171.484,0.3842,30.3,10,31.5,29.4,8,0,47,46,322,57,53,10,6136,4896,
2.3205,1.5594,3,95.1917,74.6,58.3153,8.7285,8.6207,8.5132,8.8371,8.7294,8.6217,8.5136,9.4827,9.267,8.6208,8.5131,8.4051,24.17,11.0889,0.0993,21.7968,0.1011,93.6833,77.6667,168.027,0.3155,170.442,0.3761,168.72,0.351,24.2,10,21.2,19.9,5,0,87,56,320,20,69,8,9278,5342,
2.1389,1.5225,2.1132,94.8953,74.434,58.1433,8.7288,8.621,8.5134,8.8365,8.7285,8.6208,8.513,9.4828,9.2672,8.7286,8.6207,8.405,20.15,8.2042,0.17,12.7375,0.31,84.3333,75.9833,175.54,0.43,175.08,0.43,174.23,0.43,47.8,0,47.3,45.3,3266,4,0,0,12,522,0,0,0,14889,5367
3.5047,2.0759,2.637,94.84,74.3747,58.043,8.7366,8.6286,8.5207,8.8443,8.7364,8.6284,8.5205,9.4918,9.2799,8.6281,8.5202,8.4123,23.23,12.6636,0.1122,21.7252,0.157,95.55,86.6,249.767,0.2245,249.366,0.3008,253.49,0.2289,40.2,0,47.4,49,6042,7,0,5,29,597,14,0,0,1169,43131
2.1686,8.5331,1.3476,94.6133,74.1853,57.9113,8.736,8.6281,8.5203,8.8449,8.7369,8.629,8.5206,9.4917,9.2769,8.628,8.5201,8.4122,32.2,12.2405,0.129,21.41,0.2217,79.9333,86.6,305.141,0.2796,310.887,0.281,307.448,0.3677,105.3,10,79.9,103.2,6629,5,0,7,37,492,15,0,0,2598,43016
2,1.8852,2.3333,123.1225,97.6929,76.9313,8.733,8.626,8.518,8.841,8.733,8.626,8.518,9.485,9.27,8.626,8.519,8.411,49.64,12.225,0.1247,20.0008,0.1483,68.6167,78.95,305.351,0.2266,308.233,0.2324,305.573,0.2658,41.2,10,49.4,40.9,3110,3,0,0,8,450,0,0,33,12795,4841
1.9444,1.3253,1.54,84.95,66.5607,52.282,8.733,8.6254,8.5179,8.8406,8.733,8.6256,8.5181,9.4861,9.2704,8.6257,8.518,8.4101,18.71,12.2151,0.1169,20.6964,0.1596,91.2167,64.8333,308.563,0.8696,310.533,0.2673,308.034,0.2435,59.6,0,65.5,63.7,2953,6,0,6,28,549,15,0,0,2706,55656
3.6658,2.0267,2.0865,98.5277,77.1883,58.534,8.804,8.705,8.59,8.904,8.804,8.705,8.59,9.559,9.352,8.705,8.59,8.478,19.16,7.2811,0.1887,,,87.5833,53.6833,259.63,0.2287,258.796,0.2379,264.428,0.2525,270.9,0,55.2,86.6,2259,3,0,0,9,662,0,0,0,2533,31518
3.6658,2.0267,2.0865,98.5367,77.195,60.2743,8.7409,8.6331,8.5254,8.8486,8.7408,8.6331,8.5254,9.4948,9.2794,8.6329,8.5252,8.4175,15.63,12.2801,0.115,20.4777,0.1491,85.2833,58.0667,309.061,0.2446,310.112,0.2778,313.647,0.2667,49.6,0,47.6,59.7,2229,4,0,0,10,1080,0,0,0,2236,34940
2.3181,2.802,1.4342,99.116,77.689,60.7063,8.7403,8.6268,8.5212,8.8409,8.7331,8.6259,8.5183,9.4881,9.2734,8.6287,8.521,8.4116,17.23,9.6961,0.12,16.5711,0.16,81.0833,84.1833,172.37,0.38,175.36,0.39,170.79,0.39,65.1,0,62.9,63.2,3706,4,0,4,21,197,15,14,12,22746,91561
1.6129,1.9406,1.2598,99.6797,78.2207,61.0547,8.733,8.6259,8.5184,8.8408,8.7332,8.6257,8.5181,9.4857,9.2707,8.6258,8.5182,8.4105,21.4,12.513,0.1369,24.0189,0.1562,58.6833,89.35,204.309,0.3632,206.385,0.3538,205.643,0.3699,17.2,0,18.3,18.3,6074,3,0,4,23,269,15,14,384,4541,2111
2.5063,1.9007,1.9731,99.4663,77.8517,60.7607,8.738,8.6277,8.5199,8.8425,8.7346,8.627,8.5196,9.4884,9.273,8.6272,8.5196,8.4116,20.21,12.6817,0.1501,23.5726,0.1901,96.4167,68.6,202.688,0.3664,206.282,0.3797,206.079,0.3846,45.4,0,48.4,46.4,3632,3,0,5,27,378,16,14,0,5314,39679
2,2.6102,2.902,71.6336,56.637,44.2733,8.738,8.628,8.526,8.849,8.738,8.628,8.527,9.493,9.281,8.628,8.527,8.416,17.18,12.6678,0.1713,23.8419,0.1824,65,65,209.89,0.3904,206.331,0.3875,203.459,0.3753,28.3,0,27.9,27.2,2908,7,0,0,3,290,0,0,17,2827,32464
1.64,1.1556,2,100.5567,78.613,60.3037,8.736,8.6259,8.5159,8.8462,8.736,8.6259,8.5158,9.507,9.2863,8.6261,8.5158,8.4057,13.7,10.5333,0.1504,20.7756,0.1793,68.6833,71.85,205.955,0.4002,211.013,0.3998,211.604,0.4016,31.1,0,28.6,27.7,13445,46,0,5,13,812,44,25,0,18465,4854
2.7191,1.6936,1.5549,99.5457,77.261,59.6663,8.7381,8.6265,8.5165,8.8465,8.7362,8.6263,8.5163,9.5076,9.287,8.6268,8.5167,8.4061,17.76,10.6136,0.1181,20.6416,0.2789,80.75,83.75,203.875,0.3487,202.082,0.3645,205.252,0.3661,24,0,25.5,23.3,724,3,0,0,6,204,0,0,0,13824,4547
2.3388,1.5208,1.7363,99.8567,77.5117,59.819,8.7358,8.6256,8.5156,8.8464,8.7355,8.6256,8.5157,9.5069,9.2864,8.6258,8.5158,8.4056,115.2,11.9274,0.1267,21.407,0.2145,81.9333,89.4333,261.896,0.2385,250.602,0.2061,259.745,0.2816,71.4,0,67.8,67.5,,,,,,,,,,,
2.3401,1.8,1.9582,83.5237,65.7453,51.5627,8.7333,8.6261,8.5189,8.8394,8.7319,8.6246,8.5175,9.4849,9.27,8.6266,8.5194,8.4117,60.22,11.7123,0.1018,21.8865,0.1711,70.9167,72.5167,253.458,0.1835,265.326,0.3219,257.952,0.2356,54.6,0,52.6,45.5,4594,3,0,3,15,538,0,0,8,7814,5871
1.4868,1.2487,1.4641,83.137,65.4623,,8.7323,8.625,8.5179,8.8402,8.7327,8.625,8.5179,9.4837,9.2686,8.6247,8.5174,8.4101,15.31,12.1963,0.1484,21.7481,0.2078,78.4833,91.3,311.043,0.2665,302.54,0.2725,311.067,0.2601,27.8,0,28.1,27.3,12684,2,0,4,22,676,0,0,20,8011,5392
4.2105,2.3659,4.2268,84.6373,66.681,52.299,8.7362,8.6286,8.5207,8.8437,8.736,8.6285,8.5206,9.4894,9.274,8.628,8.5208,8.4129,21.05,11.7839,0.1283,22.8461,0.1519,84.9167,91.26,250.717,0.1923,255.6,0.2161,256.42,0.2219,32.7,0,31.1,32.8,2416,4,0,0,10,642,0,0,0,2470,33732
4.6505,2.16,3.4416,85.2567,67.1707,52.668,8.7333,8.6257,8.518,8.8409,8.7333,8.6257,8.5182,9.4861,9.2707,8.6257,8.5182,8.4105,17.64,11.772,0.0813,22.7178,0.0939,81.2167,67.2667,255.842,0.2728,254.96,0.2189,254.896,0.5568,17.7,0,17.9,17.5,3746,0,0,0,12,339,14,0,0,3106,28464
3.2857,2.2162,2.4375,71.6336,56.637,44.2733,8.7211,8.613,8.5058,8.8292,8.7214,8.6137,8.5061,9.4752,9.2596,8.6139,8.506,8.3981,25.37,12.2887,0.1011,23.8041,0.1485,88.3,59.2,255.144,0.2439,260.777,0.2534,255.019,0.2404,21.1,0,21.6,20.9,2498,4,0,0,12,618,16,13,41,2999,34787
4.7241,1.8974,3.2557,83.544,65.7263,51.4997,8.7179,8.6103,8.5028,8.8253,8.7177,8.6102,8.5026,9.4705,9.2555,8.6101,8.5028,8.3951,18.05,10,0.01,20,0.01,91.3333,79.35,200,0.01,200,0.01,200,0.01,40,0,40,40,1460,4,0,0,6,469,0,0,0,20649,
2.8373,1.9644,2.3185,83.7663,65.8957,51.6383,8.721,8.6135,8.5053,8.8285,8.7209,8.6132,8.5058,9.4746,9.2596,8.6134,8.5054,8.3973,48.52,11.0852,0.088,18.7724,0.0928,79.9833,82.2833,175.686,0.4083,176.59,0.4059,176.175,0.4192,32,10,31.1,30.4,3550,4,0,0,11,374,26,0,13,16784,5318
2.2692,1.5465,1.75,83.126,65.3477,51.2227,8.7174,8.612,8.5025,8.8252,8.7176,8.6101,8.5027,9.4703,9.2552,8.61,8.5025,8.3948,22.38,10,0.01,20,0.01,95.8833,79.2,200,0.01,200,0.01,200,0.01,40,0,40,40,3820,8,0,0,11,686,63,0,0,12957,5550
3,3,3,83.6667,65.6667,51.6667,8.7307,8.6226,8.5149,8.8398,8.7319,8.624,8.5166,9.4847,9.2691,8.6222,8.5139,8.4063,20,11.2239,0.1123,18.1728,0.0903,77,62.75,171.002,0.3656,171.077,0.3456,171.253,0.3538,63.1,0,64.4,57.4,6796,6,0,9,52,548,5,11,16,1030,52126
1.6283,1.9669,1.6675,84.6833,66.66,52.3333,8.7317,8.6236,8.5225,8.8408,8.7322,8.6239,8.523,9.4841,9.2748,8.6238,8.5231,8.415,22.23,11.1719,0.1183,18.3674,0.0998,84.25,86.6,171.085,0.2092,171.316,0.1909,170.28,0.2078,0.2092,0,0.1909,0.2078,5930,9,0,5,37,1314,18,13,0,3203,73477
3,3,3,83.6667,65.6667,53,8.7303,8.6225,8.5148,8.8381,8.7303,8.6225,8.5148,9.4848,9.2692,8.6225,8.5148,8.4069,20,11.148,0.086,18.375,0.079,67.2833,50.3667,171.13,0.4175,170.724,0.3946,171.945,0.3572,71.1,10,69.9,69.2,5969,13,0,5,37,1542,20,13,0,3126,83678
1.6681,8.3511,1.9924,82.952,65.201,51.1573,8.7321,8.6268,8.5256,8.8431,8.7346,8.6258,8.5251,9.4877,9.2778,8.6269,8.5266,8.4173,23.87,11.1527,0.0968,18.2697,0.0828,79.55,73.1333,171.117,0.3642,172.005,0.3501,172.681,0.3411,49.7,0,50.7,51.7,11622,3,0,5,30,890,0,0,10,3177,2936
1.3452,1.0886,1.2932,82.9853,67.225,51.173,8.7321,8.6236,8.5229,8.8406,8.7319,8.636,8.523,9.4832,9.279,8.6237,8.523,8.4147,37.17,11.385,0.1005,18.5928,0.0903,94.4333,71.5667,173.95,0.3983,173.105,0.4003,173.737,0.4005,23.4,0,24.3,23.7,5841,20,0,9,52,992,48,0,0,15708,0
1.7633,1.4861,1.4435,89.85,71,56,8.7348,8.6261,8.5252,8.8429,8.7347,8.6257,8.5247,9.4879,9.2775,8.621,8.5257,8.4177,15.42,10,0.01,20,0.01,89.6833,86.6,200,0.01,200,0.01,200,0.01,40,0,40,40,5934,7,0,172,210,533,21,101,33,1022,52749
1.7622,1.4356,1.5188,84.7333,67.0167,55.7333,8.73,8.623,8.514,8.8522,8.7432,8.6348,8.5339,9.487,9.2776,8.626,8.5254,8.417,22.81,10,0.01,20,0.01,33.25,39.6833,200,0.01,200,0.01,200,0.01,40,0,40,40,4662,7,0,163,174,457,21,97,21,1972,53939
1.7271,1.684,2.2813,82.8857,65.1273,51.1163,8.7236,8.6154,8.5142,8.8322,8.7236,8.6153,8.5146,9.4824,9.2729,8.6232,8.522,8.4139,15.63,8.313,0.1212,12.6734,0.0972,85.5333,61.2833,171.419,0.3906,171.551,0.3848,172.895,0.3923,34,0,44.1,33.1,,,,,,,,,,,
3,3,3,133.3333,105.6667,83.6667,8.7303,8.6225,8.5148,8.8381,8.7303,8.6225,8.5148,9.4848,9.2692,8.6225,8.5148,8.4069,20,12.2139,0.0969,21.4955,0.1063,80.35,82.4667,259.732,0.2544,264.585,0.2645,264.288,0.2792,54.5,0,57.3,56.2,4269,8,0,170,138,677,21,107,0,8555,94968
3,3,3,133.3333,105.6667,83.3333,8.7303,8.6225,8.5148,8.8381,8.7303,8.6225,8.5148,9.4848,9.2692,8.6225,8.5148,8.4069,20,12.5099,0.1071,23.7319,0.2059,70.05,64.9667,261.106,0.0785,262.301,0.1346,265.473,0.4032,73.7,0,74.5,76.5,4729,6,0,152,155,588,19,96,0,4792,62828
1.0532,1.3124,1.4078,165.86,131.2567,103.7567,8.7267,8.6195,8.5125,8.834,8.7267,8.6196,8.5126,9.4772,9.2628,8.6201,8.5129,8.4056,45.8,12.6877,0.113,23.3483,0.136,84.3167,72.7,264.512,0.2727,266.547,0.5527,265.089,0.2457,73.1,10,75,75.5,6409,3,0,3,21,561,0,0,0,11767,4641
1.8249,1.4753,4.4275,79.7953,62.687,49.077,8.7179,8.6103,8.5028,8.8252,8.7177,8.6102,8.5028,9.4705,9.2555,8.6102,8.5027,8.3952,21.31,10.08,,18.343,,94.2667,71.7,174,0.43,174,0.43,174,0.43,30,0,30,30,1765,4,0,0,8,1209,2,2,0,22408,10955
3.6061,2.4412,2.2865,79.5317,62.466,48.8807,8.7173,8.61,8.5025,8.8252,8.7175,8.6102,8.5025,9.47,9.2552,8.6098,8.5026,8.3946,22.01,10.379,0.11,18.126,0.12,66.4833,71.3167,173,0.42,173,0.43,173,0.43,30,0,30,30,1548,5,0,0,6,900,14,0,0,20251,88853
