CO2,C2H4,C2H2,C2H6,CH4,CO,H2,score
1377,7,0,286,103,172,0,91.2
1399,7,0,287,121,250,0,88.39166667
1634,8,0,299,123,246,0,80.4
8773,18,0,5,26,556,8,89.33333333
4604,12,0,0,7,297,0,90.26666667
4677,18,0,0,10,398,0,89.19166667
6153,21,0,3,12,468,0,93.86666667
9136,14,0,11,56,400,10,82.13333333
3907,7,0,6,24,170,0,80.8
4152,8,0,8,33,194,0,97.33333333
4717,19,0,7,20,254,0,88.38333333
4081,20,0,7,21,288,0,91.2
4548,7,0,187,80,334,55,84.8
6574,8,0,231,117,331,81,84.8
8560,8,0,228,118,326,110,100
7503,9,0,243,120,307,142,84.8
11401,9,0,264,124,293,164,81.86666667
9135,9,0,261,145,429,318,81.33333333
7951,9,0,258,135,371,326,84.13333333
4087,23,0,126,69,234,20,98.03333333
6284,30,0,163,108,240,40,99.90833333
7800,29,0,159,107,234,52,83.06666667
6639,29,0,166,107,212,42,81.33333333
10683,30,0,187,116,225,75,91.2
9238,26,0,189,142,341,203,81.33333333
506,3,0,0,8,81,0,81.19166667
3403,4,0,71,46,505,16,84.13333333
6849,7,0,155,86,479,18,84
4195,7,0,156,94,633,31,92.8
3330,5,0,108,61,388,0,88.39166667
5061,7,0,182,108,668,24,90.26666667
4714,9,0,9,24,600,0,81.33333333
8129,12,0,74,93,444,8,85.58333333
4456,11,0,100,118,576,24,100
3558,9,0,89,85,361,0,91.2
4471,11,0,155,135,512,0,81.33333333
2440,44,0,236,56,182,40,87.31666667
2952,17,0,3,9,304,0,89.33333333
1063,18,0,47,15,247,10,92.93333333
1089,22,0,39,14,146,32,94.66666667
4234,12,0,0,12,655,0,91.05833333
434,17,0,0,1,152,10,94.65833333
680,0,0,0,2,11,0,83.06666667
2651,74,0,10,5,455,0,85.43333333
5542,10,0,25,4,337,0,87.45833333
6603,0,0,0,11,295,8,81.83333333
6865,20,0,0,13,302,48,93.86666667
6865,20,0,0,13,302,48,85.06666667
5775,16,0,0,6,371,20,92.13333333
2071,0,0,0,2,141,43,95.6
2161,15,0,0,15,259,21,87.45833333
12693,0,0,2,0,776,10,89.33333333
569,0,0,0,0,66,0,100
526,0,0,0,0,54,0,96.4
1207,0,0,0,0,196,0,88.38333333
736,10,0,0,3,160,28,87.45833333
1596,0,0,0,0,173,0,88.25
4611,41,0,0,9,603,30,85.58333333
2140,28,0,198,42,173,20,85.575
3410,13,0,3,10,256,20,81.33333333
3011,11,0,1,4,427,18,82.125
2643,35,0,42,27,362,12,92.8
5341,18,0,8,22,284,0,91.2
246,0,0,0,0,10,49,81.33333333
1741,18,0,7,9,422,16,96.25
1264,12,0,0,3,151,7,91.06666667
2041,4,0,31,9,351,14,100
1089,0,0,0,0,43,12,90.26666667
4408,16,2,19,16,414,32,88.4
1686,10,1,426,10,72,36,89.19166667
2362,8,1,204,8,91,35,89.33333333
3323,33,11,22,33,502,79,89.33333333
2608,44,2,19,44,323,11,96.53333333
2532,12,2,502,12,151,31,96.53333333
2129,30,0,784,30,117,5,83.84166667
1682,17,0,284,17,207,15,83.58333333
1978,14,1,139,14,190,54,90.26666667
3140,9,1,8,9,539,10,100
2199,32,0,857,32,122,0,92.13333333
5725,1,2,12,1,1080,93,91.2
2050,20,0,3,20,138,85,85.86666667
1333,4,1,161,4,88,51,80.13333333
1395,10,2,170,10,71,73,89.33333333
2480,11,0,94,11,83,45,90.26666667
1899,7,1,7,7,417,0,90.625
681,4,1,7,4,269,0,84.8
