CO2,C2H4,C2H2,C2H6,CH4,CO,C3H6,C3H8,H2,O2,N2,Score
0,0,0,0,0,0,0,0,0,0,0,93.73333333
6474,5,0,0,13,552,16,13,0,2280,41986,88.38333333
1069,5,0,53,28,232,16,45,0,1646,29547,93.73333333
0,0,0,0,0,0,0,0,0,0,0,91.06666667
1732,4,0,7,28,214,18,15,0,2554,28012,92.8
0,0,0,0,0,0,0,0,0,0,0,95.46666667
1000,0,0,0,2,450,0,0,0,4482,19721,93.73333333
2356,0,0,0,6,1026,0,0,0,6129,41601,91.85
1038,7,0,0,4,525,0,0,0,4295,30218,96.53333333
673,0,0,0,2,386,0,0,0,6555,28522,87.31666667
1026,5,0,11,28,332,16,17,19,12436,70027,93.06666667
522,0,0,0,1,293,0,0,0,5557,26710,96.25
515,0,0,0,1,297,0,0,0,3857,20322,96.25
1770,0,0,0,6,832,0,0,0,4690,25505,94.51666667
797,0,0,0,3,446,0,0,0,22855,92368,96.25
3758,8,0,95,83,487,25,72,24,13502,90507,89.33333333
161,0,0,0,0,65,0,0,0,12257,44634,96.25
1035,0,0,0,2,420,0,0,0,23584,94085,96.25
994,4,0,33,19,120,15,32,0,3705,27402,94.51666667
1493,5,0,34,22,191,15,33,17,20430,88154,92.78333333
518,3,0,0,11,108,0,0,36,12238,33347,100
431,0,0,0,1,221,0,0,0,2825,14978,96.25
837,0,0,0,4,442,0,0,0,4148,27315,92
856,8,0,3,3,25,15,0,0,34559,73549,89.63888889
272,3532,10760,438,3422,473,153,171,22541,1604,65158,100
2707,6,0,5,28,388,2,7,38,15635,88911,92
187,0,0,0,0,74,0,0,0,7740,19985,100
1014,3,0,0,7,352,14,0,0,3277,25209,89.63888889
3052,2636,15860,422,2251,615,368,54,18989,3028,64522,92
7240,8,0,303,229,385,25,198,0,15185,87602,85.06666667
983,5,0,0,4,795,15,0,0,21975,91854,92
8138,10,0,166,84,469,26,144,0,2801,59909,92
7755,4,0,4,23,642,16,14,0,3181,38124,92
